,trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
5,47,FP1,0,-2.106,a,S2 match,0,co2a0000368,0.0
6,47,FP1,1,-1.617,a,S2 match,0,co2a0000368,0.00390625
7,47,FP1,2,-0.641,a,S2 match,0,co2a0000368,0.0078125
8,47,FP1,3,1.312,a,S2 match,0,co2a0000368,0.01171875
9,47,FP1,4,2.777,a,S2 match,0,co2a0000368,0.015625
10,47,FP1,5,3.265,a,S2 match,0,co2a0000368,0.01953125
11,47,FP1,6,2.289,a,S2 match,0,co2a0000368,0.0234375
12,47,FP1,7,-0.153,a,S2 match,0,co2a0000368,0.02734375
13,47,FP1,8,-1.617,a,S2 match,0,co2a0000368,0.03125
14,47,FP1,9,-2.594,a,S2 match,0,co2a0000368,0.03515625
15,47,FP1,10,-2.106,a,S2 match,0,co2a0000368,0.0390625
16,47,FP1,11,-1.617,a,S2 match,0,co2a0000368,0.04296875
17,47,FP1,12,-0.641,a,S2 match,0,co2a0000368,0.046875
18,47,FP1,13,-0.641,a,S2 match,0,co2a0000368,0.05078125
19,47,FP1,14,-0.641,a,S2 match,0,co2a0000368,0.0546875
20,47,FP1,15,-1.617,a,S2 match,0,co2a0000368,0.05859375
21,47,FP1,16,-2.594,a,S2 match,0,co2a0000368,0.0625
22,47,FP1,17,-3.571,a,S2 match,0,co2a0000368,0.06640625
23,47,FP1,18,-3.571,a,S2 match,0,co2a0000368,0.0703125
24,47,FP1,19,-2.106,a,S2 match,0,co2a0000368,0.07421875
25,47,FP1,20,-0.641,a,S2 match,0,co2a0000368,0.078125
26,47,FP1,21,0.336,a,S2 match,0,co2a0000368,0.08203125
27,47,FP1,22,0.336,a,S2 match,0,co2a0000368,0.0859375
28,47,FP1,23,-0.153,a,S2 match,0,co2a0000368,0.08984375
29,47,FP1,24,-0.641,a,S2 match,0,co2a0000368,0.09375
30,47,FP1,25,-1.617,a,S2 match,0,co2a0000368,0.09765625
31,47,FP1,26,-2.594,a,S2 match,0,co2a0000368,0.1015625
32,47,FP1,27,-2.594,a,S2 match,0,co2a0000368,0.10546875
33,47,FP1,28,-3.082,a,S2 match,0,co2a0000368,0.109375
34,47,FP1,29,-4.059,a,S2 match,0,co2a0000368,0.11328125
